y2_id,clean_id,canonical_wine_id,match_score,prod_banco,vivino_produtor,vinho_banco,vivino_nome
402585,312186,236457,1.3,domaine de la vougeraie,domaine de la vougeraie,bonnes mares grand cru,bonnes mares grand cru
402663,311730,38572,1.3,hubert lignier,hubert lignier,clos de la roche grand cru,clos de la roche grand cru
402660,311727,1177858,1.3,buissoncharles,buissoncharles,pommard en mareau,pommard en mareau
402685,312495,71873,1.3,terres dorees,terres dorees,bourgogne pinot noir,pinot noir bourgogne
403280,310950,55172,1.3,chateau corbin,chateau corbin,saintemilion grand cru classe,saintemilion grand cru grand cru classe
341600,245849,156474,1.3,plessisduval,plessisduval,saumur champigny,saumur champigny
402701,312514,12776,1.3,joseph drouhin,joseph drouhin,volnay premier cru clos des chenes,volnay premier cru clos des chenes
400608,308992,180984,1.3,didier fornerol,didier fornerol,cote de nuitsvillages rouge,cote de nuitsvillages rouge
395696,303337,72943,1.3,domaine tempier,domaine tempier,bandol rouge,bandol rouge
395626,304583,1291121,1.3,guy breton,guy breton,fleurie,fleurie
